landmark,lat,long
Pantops,38.02872644,-78.43975443
Pen Park,38.0536,-78.4540
Albemarle High School,38.0754,-78.5000
UVA,38.03542666,-78.51163742
UVA Darden,38.0524,-78.5146
#UVA Hereford College,38.03178147023814, -78.51896670991266
Monticello,38.00939932,-78.45604523
Mill Creek,38.0003,-78.5022
Barracks Rugby,38.04760961,-78.49072891
Belmont,38.01973356,-78.47310543
Downtown,38.0354885,-78.47858294
Fifeville,38.02695042,-78.49538794
Fry's Spring,38.01691546,-78.51132744
Greenbrier,38.05677212,-78.4761765
Locust Grove,38.04454302,-78.46308809
